level_0,index,date,source,sentence,topic
62,62,2019-10-27,https://www.tribuneindia.com/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html,"  rk yadav, president of yadav mahasabha punjab, said, “apart from death of these two children, a few suspected dengue deaths have also been reported",death
63,63,2019-08-26,https://www.tribuneindia.com/news/punjab/inflow-from-pak-still-on-army-ndrf-on-alert/822775.html,“already six villagers have died while crossing the river on a ‘bera’ that got damaged,death
64,64,2019-08-19,https://www.tribuneindia.com/news/punjab/rain-wreaks-havoc-4-die-in-roof-collapse/819437.html,"rain wreaks havoc, 4 die in roof collapse",death
65,65,2019-08-19,https://www.tribuneindia.com/news/punjab/rain-wreaks-havoc-4-die-in-roof-collapse/819437.html,"gurminder grewal  khanna, august 18  four persons were killed in two separate rain-related incidents in khanna",death
66,66,2019-08-19,https://www.tribuneindia.com/news/punjab/rain-wreaks-havoc-4-die-in-roof-collapse/819437.html," three members of a family, including a minor boy, died when the roof of their house collapsed in hole village near khanna",death
67,67,2019-08-19,https://www.tribuneindia.com/news/punjab/rain-wreaks-havoc-4-die-in-roof-collapse/819437.html," toddler washed away  ropar: a three-year-old daughter of a watchman, identified as sundri, was feared drowned when water flooded their house situated in a low-lying area of ropar district on sunday",death
68,68,2019-08-18,https://www.tribuneindia.com/news/punjab/budhki-sarsa-rivers-in-spate-admn-orders-evacuation-of-dozens-of-villages/819303.html,"meanwhile, a three-year-old son of a watchman at a private school feared drowned when the water flooded his house situated in the low-lying area of the building.",death
69,69,2019-07-17,https://www.tribuneindia.com/news/punjab/from-deficit-to-10-surplus-rain-in-punjab/803143.html,"ush({ });  record rainfall drowns bathinda fields in moga flooded as sutlej swells school turns into pond, kids at risk gushing ghaggar floods patiala villages   the rainfall in punjab, which till a few days ago was deficient by almost 50 per cent, is now 10 per cent above the long-term average",death
70,70,2019-07-17,https://www.tribuneindia.com/news/punjab/record-rainfall-drowns-bathinda/803032.html,"of nealy 80 cows inside the shelter, 37 died in the incident",death
71,71,2019-02-01,https://www.tribuneindia.com/news/punjab/amrita-s-works-reflect-partition-pangs-prof/721877.html,"it reignited memories of the great calcutta killings of 1946 and the sufferings of millions of refugees, who flooded the city in the aftermath of partition",death
72,72,2018-09-25,https://www.tribuneindia.com/news/punjab/8-month-old-girl-drowns-in-jalandhar/658400.html,8-month-old girl drowns in jalandhar,death
73,73,2018-09-25,https://www.tribuneindia.com/news/punjab/8-month-old-girl-drowns-in-jalandhar/658400.html,"jalandhar, september 24 a rajasthani woman’s eight-month-old daughter drowned after rainwater flooded their kiosk here on sunday night",death
74,74,2017-12-07,https://www.tribuneindia.com/news/punjab/bills-pending-hc-asks-ag-if-state-in-deep-fiscal-crisis/509323.html, justice rajan gupta’s bench also set six-week deadline for advocate-general atul nanda to come out with his response on the issue after holding a meeting with the finance department officers,death
75,75,2017-07-01,https://www.tribuneindia.com/news/punjab/heavy-rain-in-mansa-man-electrocuted/429959.html,"nikhila pant dhawan tribune news service mansa, june 30 a shopkeeper was electrocuted to death here today following a heavy rainfall",death
76,76,2016-05-29,https://www.tribuneindia.com/news/crime/bhagat-singh-s-grandnephew-and-aap-activist-abhitej-killed-in-mishap/243788.html,"ush({ });  abhitej sandhu, grandnephew of shaheed bhagat singh and an aap activist, died after he sustained grave injuries in a motorcycle accident at maglad, near rampur in shimla district, about 135 km from here, late on saturday evening",death
77,77,2016-05-13,https://www.tribuneindia.com/news/community/six-booked-for-attacking-power-dept-staff/235983.html,"as per the police complaint, chamkaur singh alleged that his father jagdish singh killed his mother sukhpal kaur (38)",death
78,78,2016-05-05,https://www.tribuneindia.com/news/community/heard-of-kidnapping-what-relief-in-the-end/232170.html,"ush({ });  read all about gangsters at work in punjab:  kidnapped patiala schoolgirl freed in 6 hours 4 incidents in a month have cops worried 70 active gangs, over 500 gangsters and counting gangsters fire at rivals, kill 1 where crime is law don’t let gangsters become heroes, sukhbir tells police    the civil lines sho was not available, so i called up area dsp harpal",death
79,79,2016-05-03,https://www.tribuneindia.com/news/community/ig-terms-gangsters-offensive-fb-posts-freedom-of-speech/231182.html," nikhil bhardwaj tribune news service jalandhar, may 2    the facebook page of notorious gangster sukha kahlon, who was killed in police custody near phagwara in january last year, is still being flooded with threatening posts aimed at rival gangster vicky gounder and the police",death
80,80,2015-10-09,https://www.tribuneindia.com/news/governance/abohar-municipal-council-to-act-tough-against-defaulters/143560.html, the council had recently come under fire over the dead animal disposal scam which revealed that the mc had been “unofficially” awarding a contract to any person for the past eight years and earning about rs 2 lakh per annum,death
81,81,2015-10-09,https://www.tribuneindia.com/news/governance/abohar-municipal-council-to-act-tough-against-defaulters/143560.html," the council, at a meeting held after four months, has now resolved to put disposal of dead animals on auction",death
82,82,2015-08-12,https://www.tribuneindia.com/news/community/house-gets-flooded-ex-dig-sits-on-dharna/118756.html,"tribune news service  ropar, august 11 a retired deputy inspector general of police iqbal singh lalpura started a fast-unto-death outside the deputy commissioner’s residence when his pleas to remove water from his flooded house fell on deaf ears",death
83,83,2015-02-28,https://www.tribuneindia.com/news/punjab/punjab-entrepreneurs-say-budget-has-no-goodies-for-sports-cycle-industry/48015.html,ush({ });  sports goods industry developed in jalandhar after skilled hindu craftsmen migrated from pakistan's sialkot area after partition in 1947,death
84,84,2015-02-05,https://www.tribuneindia.com/news/punjab/vvip-visits-fail-to-provide-succour-to-cancer-village/38139.html,"tribune news service faridkot, february 4  they came, they saw and they zipped away, leaving behind residents to wonder who would be the next vvip to descend on them to “take stock” of the situation in mari mustafa village, where a number of residents have died of cancer and hepatitis c",death
85,85,2015-02-05,https://www.tribuneindia.com/news/punjab/vvip-visits-fail-to-provide-succour-to-cancer-village/38139.html," besides two deaths due to cancer in his family, there are four other members suffering with hepatitis c in gurtej’s family",death
86,86,2015-02-05,https://www.tribuneindia.com/news/punjab/vvip-visits-fail-to-provide-succour-to-cancer-village/38139.html," after over 60 persons died of cancer and hcv last year, the health department started a large-scale household survey in the village that has a population of 11,000 in the first week of december last year",death
87,87,2015-02-03,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html,hc sets 3-month deadline on plea for flats by ’84 riot victims,death
88,88,2015-02-03,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html,"taking up their petition, a division bench has set three-month deadline for gmada to decide their pleas",death
89,89,2015-02-03,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html, the latest deadline came on a petition filed against the state of punjab and other respondents by joginder singh and 12 other petitioners through counsel mansur ali and hs deol,death
90,90,2015-02-03,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html,"earlier also, the high court in march 2013 had set a two-month deadline for the state of punjab and its functionaries to redress the grievance of 1984 riot victims for handing over the possession of lig flats",death
91,91,2015-01-16,https://www.tribuneindia.com/news/diaspora/diaspora-seeks-nri-act/30760.html,"according to a complaint sent by amrik singh, a us-based nri, to ig gurpreet deo, his paralytic father residing in india was killed and cremated by his uncle’s family in 2005",death
92,92,2019-07-17,https://www.tribuneindia.com/news/punjab/two-found-dead-in-minor/803051.html,"tribune news service  muktsar, july 16  two youths were found dead in a minor near doda village in the  district on monday night",death
93,93,2019-07-13,https://www.tribuneindia.com/news/punjab/pak-drops-pro-khalistan-activist-gopal-chawla-others-from-psgpc/801600.html,his name had popped up in the investigation into a grenade attack at nirankari bhawan in amritsar in november last wherein three people were killed,death
94,94,2019-05-28,https://www.tribuneindia.com/news/punjab/india-pak-corridor-talks-hit-a-bump/779230.html,"ravi dhaliwal  tribune news service  gurdaspur, may 27  the fourth “technical committee” meeting on the kartapur corridor between india and pakistan, which was held at zero line today, ended in a deadlock with india suggesting that a 800-metre bridge be built on the ravi while the pakistan delegation, fearing  flooding during monsoons could erode the bridge, suggested a causeway",death
95,95,2018-09-25,https://www.tribuneindia.com/news/punjab/sukhna-gates-shut-after-water-recedes-in-himachal-rivers/658592.html,ush({ }); five deaths were reported from the states due to the rains,death
96,96,2018-09-25,https://www.tribuneindia.com/news/punjab/punjab-toll-3-many-towns-waterlogged/658361.html,"tribune news service chandigarh, september 24  three persons, including two children, were drowned on monday as heavy rain continued for the third day across punjab, leaving cities and towns waterlogged and paddy fields flattened in many areas",death
97,97,2018-09-25,https://www.tribuneindia.com/news/punjab/punjab-toll-3-many-towns-waterlogged/658361.html,"  at the ‘sodal mela’ in jalandhar, an eight-month-old daughter of a rajasthani stall owner drowned after she fell off a bench on which she was asleep in the night as the area was inundated",death
98,98,2018-09-25,https://www.tribuneindia.com/news/punjab/punjab-toll-3-many-towns-waterlogged/658361.html,"in amritsar, a man and his 12-year-old son drowned after their car fell off a bridge into an overflowing drain near khiyala village during heavy rain",death
99,99,2018-07-05,https://www.tribuneindia.com/news/punjab/rain-pours-misery-in-malwa-5-dead/615378.html,"rain pours misery in malwa, 5 dead",death
100,100,2018-07-05,https://www.tribuneindia.com/news/punjab/rain-pours-misery-in-malwa-5-dead/615378.html," a few hours after the death of her husband and two daughters, the woman gave birth to twins at a private hospital",death
